FIPS,name,population_2015,DI_2000,DI_2015,DI_ratio
48363,"Palo Pinto County, Texas",27895,0.30767405022202665,0.39554824930397225,1.2856080940805148
22029,"Concordia Parish, Louisiana",20142,0.49449989551451035,0.5109605142096717,1.0332874058103383
41055,"Sherman County, Oregon",1680,0.14431542313710258,0.1967598200948478,1.363401193148441
16019,"Bonneville County, Idaho",110089,0.17744300214535694,0.2816145347458501,1.587070390722754
36003,"Allegany County, New York",47462,0.06342394593843431,0.1063295646694833,1.6764892675188883
05073,"Lafayette County, Arkansas",6996,0.4889234614871844,0.5067445193416517,1.036449586199566
05053,"Grant County, Arkansas",18102,0.09252175311552203,0.1398860424598139,1.5119259822622808
47065,"Hamilton County, Tennessee",354098,0.38660306297601843,0.4469500360349187,1.156095434408505
47053,"Gibson County, Tennessee",49399,0.3481159851087223,0.3650786986586709,1.0487271894298413
51710,"Norfolk city, Virginia",246393,0.5741053912705666,0.6176830988927591,1.0759054143800142
51137,"Orange County, Virginia",35385,0.2802798317617726,0.3599460911604002,1.284238287492412
39091,"Logan County, Ohio",45386,0.0799626320572335,0.1168540268794194,1.4613579352388095
28055,"Issaquena County, Mississippi",1337,0.47551820473372497,0.47215296304646154,0.9929230013619608
17147,"Piatt County, Illinois",16387,0.032010358022816446,0.06764310331565775,2.1131629726678747
41005,"Clackamas County, Oregon",401515,0.19572053200053594,0.30200641669304995,1.5430492325262175
29003,"Andrew County, Missouri",17296,0.043112433685482905,0.09542812095799895,2.213470982737217
37177,"Tyrrell County, North Carolina",4070,0.5346469963064049,0.5830537748295092,1.0905396997598813
53031,"Jefferson County, Washington",30466,0.15812568637190969,0.2116664866199383,1.3385964764896028
05043,"Drew County, Arkansas",18778,0.4403376740040316,0.4775564174990912,1.0845231868457361
21111,"Jefferson County, Kentucky",763623,0.3761585406365552,0.47371512714584385,1.259349651729822
46067,"Hutchinson County, South Dakota",7301,0.030709258723346625,0.09309464701954624,3.0314846691096227
53063,"Spokane County, Washington",490945,0.18245427797765956,0.2642489133554203,1.4483020967465394
48393,"Roberts County, Texas",916,0.07718491780688082,0.23461417703175935,3.039637583326469
30067,"Park County, Montana",15972,0.08271822791999672,0.12115416715360663,1.4646610571829985
06029,"Kern County, California",882176,0.6116111062876932,0.6355831270828646,1.0391948748947264
05009,"Boone County, Arkansas",37222,0.05765621735866482,0.11150906071581004,1.9340335843078333
26101,"Manistee County, Michigan",24461,0.1336093043510986,0.19809666678941848,1.4826562248154511
55055,"Jefferson County, Wisconsin",84559,0.11011491826028721,0.18592601710102877,1.6884725524795918
51670,"Hopewell city, Virginia",22378,0.5080585691509879,0.5873836403995215,1.1561337138375463
46125,"Turner County, South Dakota",8209,0.027796268950753864,0.08539837485279096,3.072296321642652
06003,"Alpine County, California",1110,0.42025815581110537,0.4863533357916715,1.157272807360517
04005,"Coconino County, Arizona",139097,0.5734455956343546,0.6068606164683701,1.0582706033290765
27173,"Yellow Medicine County, Minnesota",9875,0.08840558314064664,0.17620058548720785,1.9930934136465788
18065,"Henry County, Indiana",48985,0.048705971678258214,0.11779920642505176,2.4185783050014784
51037,"Charlotte County, Virginia",12201,0.47271112578235147,0.45977799949943493,0.9726405291148758
06055,"Napa County, California",142456,0.4602161564073002,0.6035440060370826,1.3114359364275219
26121,"Muskegon County, Michigan",172790,0.34348533612359966,0.38543548581050013,1.1221308314361493
26139,"Ottawa County, Michigan",279955,0.2076296867282259,0.27796598438779385,1.3387583864711683
36099,"Seneca County, New York",34833,0.11141282364852281,0.1969284979996205,1.767556835475927
37097,"Iredell County, North Carolina",169866,0.32697402783546414,0.39375883184004074,1.2042510973935312
20091,"Johnson County, Kansas",580159,0.20326127023974702,0.338872100001625,1.6671749596070355
20207,"Woodson County, Kansas",3115,0.07236260906897558,0.12839641518645226,1.7743475095551848
51183,"Sussex County, Virginia",11715,0.4799890569022697,0.5203341832758963,1.0840542628909169
16047,"Gooding County, Idaho",15284,0.3164059412677689,0.45751570860016866,1.4459769837664995
18029,"Dearborn County, Indiana",49455,0.043845629361019364,0.06944800702529894,1.5839208613810247
12131,"Walton County, Florida",63508,0.22807543478730458,0.2799294548659781,1.2273546913416205
31167,"Stanton County, Nebraska",5937,0.07676260518112914,0.14677505125849916,1.9120644865057481
13253,"Seminole County, Georgia",8647,0.5016559473850013,0.4986437587572823,0.9939955089869447
48219,"Hockley County, Texas",23433,0.5303575450032431,0.5683484608210327,1.0716326489096282
17133,"Monroe County, Illinois",33879,0.03243501728406591,0.06742428864323079,2.0787498909813675
05145,"White County, Arkansas",79161,0.1380422410982489,0.2184672914058878,1.5826118850852178
48131,"Duval County, Texas",11388,0.22272463914239266,0.22625063846753377,1.015831204570442
51167,"Russell County, Virginia",27891,0.03833679627038524,0.0638343510781829,1.6650935208035171
39021,"Champaign County, Ohio",38987,0.08791978810880355,0.1261875312062033,1.4352574536467513
36011,"Cayuga County, New York",78288,0.14110465829310695,0.1783550467119528,1.2639912024836784
20005,"Atchison County, Kansas",16398,0.17511090927463574,0.21917477959375514,1.2516340672414172
48479,"Webb County, Texas",269721,0.1244268790642734,0.1148493589543258,0.9230269200515728
24029,"Kent County, Maryland",19787,0.35156513560221775,0.3607766619927931,1.0262014786386493
