"STATEFIP","AGE.CAT","EDUC.CAT","INC.CAT","SEX","cell.freq","state.freq","cell.percent","region","region.alpha","state.name","state.alpha","dis.index.08","black.pct.08","black.poverty.08","gini.08"
1,4,3,2,1,113,23327,0.00484417198954002,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,2,2,0,149,23327,0.00638744802160586,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,4,1,40,23327,0.00171475114673983,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,3,4,1,74,23327,0.00317228962146868,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,2,1,60,23327,0.00257212672010974,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,1,3,0,218,23327,0.00934539374973207,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,3,4,0,59,23327,0.00252925794144125,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,1,0,179,23327,0.00767351138166074,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,2,1,356,23327,0.0152612852059845,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,1,2,0,291,23327,0.0124748145925323,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,4,0,30,23327,0.00128606336005487,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,1,2,0,328,23327,0.0140609594032666,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,2,4,1,66,23327,0.00282933939212072,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,1,1,1,1320,23327,0.0565867878424144,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,1,1,1125,23327,0.0482273760020577,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,4,3,0,8,23327,0.000342950229347966,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,3,1,201,23327,0.00861662451236764,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,2,1,1,421,23327,0.0180477558194367,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,1,1,401,23327,0.0171903802460668,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,4,2,0,28,23327,0.00120032580271788,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,2,1,0,163,23327,0.0069876109229648,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,4,1,60,23327,0.00257212672010974,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,2,3,0,53,23327,0.00227204526943027,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,3,1,47,23327,0.0020148325974193,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,1,4,1,51,23327,0.00218630771209328,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,3,3,0,73,23327,0.00312942084280019,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,1,4,0,106,23327,0.00454409053886055,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,2,1,241,23327,0.0103313756591075,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,2,1,35,23327,0.00150040725339735,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,2,2,0,168,23327,0.00720195481630728,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,2,4,0,48,23327,0.0020577013760878,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,2,3,1,234,23327,0.010031294208428,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,3,4,0,79,23327,0.00338663351481116,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,2,3,1,43,23327,0.00184335748274532,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,4,2,0,7,23327,0.00030008145067947,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,1,4,0,73,23327,0.00312942084280019,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,4,0,47,23327,0.0020148325974193,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,3,1,27,23327,0.00115745702404938,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,4,1,0,21,23327,0.00090024435203841,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,4,1,95,23327,0.00407253397350709,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,1,0,9,23327,0.000385819008016462,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,1,3,1,167,23327,0.00715908603763879,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,1,3,2,1,68,23327,0.00291507694945771,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,4,4,1,1,38,23327,0.00162901358940284,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,3,4,1,91,23327,0.00390105885883311,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,2,4,0,26,23327,0.00111458824538089,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,1,1,0,929,23327,0.0398250953830325,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,1,0,9,23327,0.000385819008016462,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,3,3,3,0,18,23327,0.000771638016032923,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
1,2,4,1,1,30,23327,0.00128606336005487,3,"South","Alabama","AL",0.227201147,0.260356848,0.318441427,0.47
2,3,3,1,1,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
2,3,4,4,0,0,1,0,NA,NA,"Alaska","AK",0.305091583,0.03090403,0.195652174,0.41
